Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std
41.33,47.67,40.33,54.50,39.83,44.73±6.30
36.00,22.67,31.33,29.33,37.50,31.37±5.89
49.67,59.67,61.17,62.50,48.17,56.23±6.77
74.50,85.67,89.83,83.67,89.17,84.57±6.17
97.33,93.00,96.00,96.50,98.67,96.30±2.10
89.00,82.00,90.33,88.33,95.17,88.97±4.72
77.33,78.83,77.67,80.00,78.33,78.43±1.05
86.00,85.83,84.67,91.33,91.33,87.83±3.24
81.50,80.17,85.33,84.00,78.17,81.83±2.88
44.67,42.83,43.83,31.50,50.33,42.63±6.87
67.73,67.83,70.05,70.17,70.67,69.29±22.04
