Fold1,Mean±Std
27.00,27.00±nan
40.00,40.00±nan
36.00,36.00±nan
57.00,57.00±nan
32.00,32.00±nan
43.00,43.00±nan
44.00,44.00±nan
26.00,26.00±nan
35.00,35.00±nan
29.00,29.00±nan
57.00,57.00±nan
41.00,41.00±nan
26.00,26.00±nan
26.00,26.00±nan
28.00,28.00±nan
45.00,45.00±nan
36.00,36.00±nan
48.00,48.00±nan
38.00,38.00±nan
26.00,26.00±nan
30.00,30.00±nan
28.00,28.00±nan
31.00,31.00±nan
29.00,29.00±nan
43.00,43.00±nan
34.00,34.00±nan
42.00,42.00±nan
30.00,30.00±nan
27.00,27.00±nan
64.00,64.00±nan
39.00,39.00±nan
33.00,33.00±nan
29.00,29.00±nan
31.00,31.00±nan
35.00,35.00±nan
53.00,53.00±nan
41.00,41.00±nan
39.00,39.00±nan
35.00,35.00±nan
23.00,23.00±nan
34.00,34.00±nan
30.00,30.00±nan
38.00,38.00±nan
30.00,30.00±nan
25.00,25.00±nan
28.00,28.00±nan
30.00,30.00±nan
33.00,33.00±nan
47.00,47.00±nan
25.00,25.00±nan
28.00,28.00±nan
32.00,32.00±nan
23.00,23.00±nan
34.00,34.00±nan
35.06,35.06±9.01
