Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std
40.97,38.19,34.03,43.06,42.36,39.72±3.69
36.81,17.36,18.75,27.78,36.81,27.50±9.39
53.47,50.00,60.42,56.25,45.83,53.19±5.61
70.14,79.86,83.33,67.36,86.81,77.50±8.41
95.14,88.89,95.83,95.83,94.44,94.03±2.93
77.78,70.83,81.94,82.64,80.56,78.75±4.80
77.78,79.17,81.94,72.22,77.08,77.64±3.55
86.81,85.42,90.28,92.36,88.89,88.75±2.75
74.31,81.94,78.47,74.31,60.42,73.89±8.18
38.89,47.92,43.06,39.58,46.53,43.19±4.03
65.21,63.96,66.81,65.14,65.97,65.42±21.56
