Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std,ITR(bits/min)
41.67,40.5,39.67,44.17,52.17,43.63±5.06,35.61±8.94
37.33,32.83,41.17,37.83,34.83,36.80±3.16,24.65±4.64
60.17,67.5,61.67,67.5,62.67,63.90±3.40,76.12±7.99
86.67,93.0,91.17,91.0,88.67,90.10±2.46,151.67±8.87
96.0,98.67,99.33,94.5,97.33,97.17±1.96,180.52±9.22
85.5,94.33,91.17,89.17,95.0,91.03±3.90,155.46±14.35
88.0,84.0,86.17,87.83,85.67,86.33±1.65,138.44±5.50
90.17,87.5,93.5,90.67,90.67,90.50±2.13,153.09±7.83
89.0,88.5,89.0,85.83,82.33,86.93±2.89,140.60±9.56
48.67,55.17,53.67,48.33,59.83,53.13±4.80,53.01±9.63
72.32,74.2,74.65,73.68,74.92,73.95±21.26,110.92±54.39
