Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std,ITR(bits/min)
35.5,44.5,36.17,48.0,49.67,42.77±6.60,31.53±9.92
44.5,38.5,41.33,33.33,40.0,39.53±4.11,26.45±5.75
68.83,78.0,67.67,76.67,62.83,70.80±6.39,85.75±15.21
91.17,96.17,92.5,93.83,95.5,93.83±2.07,152.10±7.65
96.33,98.0,98.67,98.0,99.33,98.07±1.12,169.20±5.05
88.33,94.33,93.67,86.0,89.33,90.33±3.57,140.04±12.03
90.17,83.5,87.5,84.83,86.17,86.43±2.56,127.31±7.96
94.83,91.5,94.83,93.17,92.83,93.43±1.42,150.50±5.17
89.0,90.33,89.83,93.67,86.83,89.93±2.48,138.48±8.34
54.33,69.67,64.5,63.33,63.5,63.07±5.53,68.23±11.46
75.3,78.45,76.67,77.08,76.6,76.82±20.59,108.96±49.39
