Fold1,Mean±Std
84.20,84.20±nan
95.66,95.66±nan
84.46,84.46±nan
100.00,100.00±nan
68.32,68.32±nan
92.36,92.36±nan
100.00,100.00±nan
93.14,93.14±nan
96.09,96.09±nan
91.15,91.15±nan
100.00,100.00±nan
99.22,99.22±nan
79.34,79.34±nan
95.66,95.66±nan
99.22,99.22±nan
95.49,95.49±nan
77.17,77.17±nan
98.44,98.44±nan
81.77,81.77±nan
80.56,80.56±nan
87.41,87.41±nan
72.83,72.83±nan
43.84,43.84±nan
82.81,82.81±nan
100.00,100.00±nan
89.15,89.15±nan
97.83,97.83±nan
84.81,84.81±nan
87.15,87.15±nan
100.00,100.00±nan
100.00,100.00±nan
92.36,92.36±nan
94.27,94.27±nan
58.68,58.68±nan
70.31,70.31±nan
100.00,100.00±nan
100.00,100.00±nan
91.49,91.49±nan
93.32,93.32±nan
78.91,78.91±nan
92.71,92.71±nan
94.88,94.88±nan
100.00,100.00±nan
99.22,99.22±nan
72.22,72.22±nan
96.88,96.88±nan
36.37,36.37±nan
97.66,97.66±nan
98.44,98.44±nan
96.88,96.88±nan
64.15,64.15±nan
97.83,97.83±nan
92.88,92.88±nan
61.98,61.98±nan
87.77,87.77±14.37
