Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std,ITR(bits/min)
49.67,56.5,63.67,60.83,61.0,58.33±5.48,58.54±10.51
14.83,12.83,16.33,18.17,19.83,16.40±2.74,2.61±1.51
54.67,59.33,52.83,53.5,45.83,53.23±4.85,48.78±8.73
75.83,84.5,64.17,84.17,79.0,77.53±8.31,103.06±20.92
66.67,66.5,67.0,42.67,76.83,63.93±12.67,71.68±25.13
81.83,84.33,85.17,72.83,88.0,82.43±5.80,115.97±15.91
80.33,78.0,79.17,74.0,74.17,77.13±2.90,101.05±7.55
85.5,89.0,91.5,93.17,90.83,90.00±2.92,138.77±9.56
77.83,71.5,31.5,82.33,67.83,66.20±20.19,79.75±38.45
31.67,26.17,31.83,38.5,29.5,31.53±4.52,16.13±5.44
61.88,62.87,58.32,62.02,63.28,61.67±21.89,73.63±41.10
