Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std,ITR(bits/min)
37.5,47.92,38.19,48.61,48.61,44.17±5.78,33.56±8.84
45.83,40.28,46.53,32.64,37.5,40.56±5.82,28.13±8.36
58.33,72.92,69.44,70.14,63.19,66.81±5.92,76.44±13.01
92.36,96.53,88.19,94.44,95.83,93.47±3.35,151.05±11.93
90.97,94.44,97.22,97.22,99.31,95.83±3.22,160.31±12.75
88.89,94.44,93.75,85.42,90.28,90.56±3.69,140.82±12.36
88.19,83.33,87.5,87.5,87.5,86.81±1.96,128.38±5.93
93.75,91.67,94.44,97.22,88.19,93.06±3.37,149.56±12.13
87.5,90.28,89.58,93.75,86.81,89.58±2.73,137.37±9.17
53.47,70.14,63.89,63.19,62.5,62.64±5.96,67.39±12.35
73.68,78.19,76.88,77.01,75.97,76.35±20.09,107.30±48.20
