Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std,ITR(bits/min)
43.06,39.58,42.36,44.44,52.08,44.31±4.69,36.69±8.31
36.81,35.42,42.36,38.89,34.03,37.50±3.26,25.69±4.92
59.72,69.44,62.5,68.75,63.19,64.72±4.21,78.13±9.99
86.11,93.06,90.97,91.67,89.58,90.28±2.64,152.34±9.48
95.83,93.75,97.92,94.44,96.53,95.69±1.66,173.67±7.27
85.42,91.67,84.03,90.28,95.14,89.31±4.57,149.33±16.44
81.94,75.0,86.11,71.53,86.81,80.28±6.78,120.16±20.09
85.42,87.5,91.67,91.67,90.97,89.44±2.84,149.36±9.99
87.5,88.19,88.19,86.81,81.94,86.53±2.63,139.19±8.55
49.31,57.64,54.86,50.69,59.72,54.44±4.44,55.60±8.99
71.11,73.12,74.1,72.92,75.0,73.25±20.20,108.02±51.30
