Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std,ITR(bits/min)
50.0,51.25,51.25,61.25,50.0,52.75±4.79,10.35±3.69
57.5,51.25,58.75,55.0,58.75,56.25±3.19,12.81±2.40
25.0,43.75,38.75,36.25,38.75,36.50±6.98,2.37±1.73
60.0,88.75,86.25,88.75,77.5,80.25±12.23,40.82±15.74
38.75,18.75,38.75,31.25,27.5,31.00±8.40,1.19±1.34
73.75,60.0,48.75,35.0,75.0,58.50±16.99,17.32±13.43
82.5,85.0,82.5,91.25,93.75,87.00±5.20,50.05±9.35
36.25,30.0,37.5,38.75,27.5,34.00±4.95,1.42±1.13
37.5,61.25,63.75,73.75,47.5,56.75±14.27,15.05±10.98
60.0,61.25,67.5,57.5,61.25,61.50±3.69,17.27±3.46
98.75,100.0,93.75,100.0,93.75,97.25±3.24,72.08±8.91
92.5,91.25,91.25,95.0,97.5,93.50±2.71,62.32±6.17
65.0,37.5,52.5,51.25,36.25,48.50±11.90,8.70±7.58
35.0,48.75,40.0,47.5,43.75,43.00±5.63,4.73±2.53
42.5,31.25,33.75,36.25,32.5,35.25±4.45,1.70±1.47
78.75,68.75,57.5,50.0,52.5,61.50±12.04,18.60±11.88
46.25,50.0,27.5,27.5,40.0,38.25±10.44,3.54±3.64
96.25,92.5,78.75,97.5,95.0,92.00±7.63,60.40±13.95
40.0,40.0,45.0,43.75,47.5,43.25±3.26,4.65±1.57
41.25,42.5,46.25,36.25,35.0,40.25±4.63,3.43±1.90
63.75,71.25,57.5,60.0,65.0,63.50±5.26,19.27±5.16
42.5,43.75,40.0,43.75,41.25,42.25±1.63,4.11±0.73
40.0,23.75,48.75,28.75,38.75,36.00±9.86,2.70±3.04
40.0,35.0,26.25,36.25,38.75,35.25±5.41,1.80±1.20
67.5,66.25,73.75,40.0,68.75,63.25±13.31,20.46±10.21
42.5,58.75,55.0,47.5,36.25,48.00±9.13,7.86±5.34
68.75,53.75,71.25,71.25,30.0,59.00±17.77,17.97±11.94
38.75,36.25,53.75,38.75,28.75,39.25±9.08,3.63±4.15
51.25,55.0,38.75,48.75,67.5,52.25±10.44,10.81±7.58
73.75,57.5,57.5,42.5,66.25,59.50±11.68,16.69±9.75
100.0,95.0,97.5,78.75,98.75,94.00±8.72,65.81±17.14
56.25,77.5,77.5,58.75,67.5,67.50±10.04,24.08±10.66
36.25,41.25,40.0,30.0,32.5,36.00±4.79,1.95±1.42
25.0,32.5,30.0,32.5,32.5,30.50±3.26,0.56±0.37
38.75,47.5,38.75,30.0,30.0,37.00±7.32,2.56±2.62
83.75,100.0,100.0,100.0,97.5,96.25±7.07,71.15±15.55
65.0,76.25,76.25,78.75,73.75,74.00±5.33,30.78±6.22
46.25,47.5,51.25,60.0,42.5,49.50±6.65,8.40±4.50
52.5,50.0,61.25,52.5,72.5,57.75±9.29,14.75±8.44
38.75,38.75,32.5,38.75,48.75,39.50±5.84,3.25±2.52
57.5,63.75,66.25,67.5,41.25,59.25±10.77,16.26±7.90
52.5,53.75,36.25,35.0,40.0,43.50±8.99,5.43±4.59
76.25,88.75,92.5,83.75,85.0,85.25±6.09,47.19±9.92
50.0,68.75,91.25,72.5,87.5,74.00±16.47,33.79±19.96
46.25,43.75,36.25,53.75,42.5,44.50±6.35,5.54±3.35
28.75,41.25,41.25,32.5,36.25,36.00±5.48,2.02±1.58
28.75,30.0,22.5,26.25,26.25,26.75±2.88,0.13±0.16
66.25,67.5,72.5,48.75,57.5,62.50±9.40,18.91±8.30
63.75,75.0,77.5,67.5,85.0,73.75±8.39,31.00±10.57
47.5,51.25,66.25,56.25,53.75,55.00±7.07,12.23±5.73
35.0,36.25,42.5,43.75,48.75,41.25±5.66,3.95±2.48
43.75,40.0,43.75,40.0,37.5,41.00±2.71,3.61±1.15
35.0,30.0,41.25,38.75,27.5,34.50±5.77,1.64±1.50
30.0,41.25,35.0,31.25,40.0,35.50±5.05,1.83±1.49
53.52,55.42,56.16,53.12,54.03,54.45±19.22,17.05±19.64
