Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std,ITR(bits/min)
41.25,38.75,41.25,50.0,45.0,43.25±4.38,7.09±3.35
37.5,26.25,26.25,32.5,37.5,32.00±5.63,1.58±1.64
20.0,23.75,30.0,32.5,37.5,28.75±6.96,1.02±1.37
35.0,42.5,53.75,35.0,67.5,46.75±13.91,12.27±13.71
30.0,21.25,26.25,36.25,35.0,29.75±6.21,1.08±1.25
40.0,42.5,42.5,30.0,56.25,42.25±9.37,7.38±6.94
41.25,42.5,55.0,43.75,45.0,45.50±5.49,8.94±4.96
26.25,31.25,28.75,22.5,30.0,27.75±3.47,0.35±0.36
25.0,51.25,51.25,47.5,52.5,45.50±11.61,10.49±6.13
40.0,40.0,43.75,41.25,36.25,40.25±2.71,4.94±1.62
67.5,65.0,58.75,73.75,53.75,63.75±7.76,29.75±11.21
28.75,40.0,48.75,55.0,48.75,44.25±10.18,9.04±6.69
40.0,28.75,36.25,41.25,25.0,34.25±7.10,2.63±2.48
38.75,38.75,35.0,27.5,32.5,34.50±4.73,2.29±1.69
42.5,21.25,35.0,25.0,28.75,30.50±8.41,1.75±2.69
47.5,55.0,45.0,42.5,32.5,44.50±8.18,8.69±6.00
37.5,38.75,30.0,32.5,40.0,35.75±4.29,2.74±1.78
48.75,43.75,52.5,66.25,71.25,56.50±11.74,21.34±14.53
42.5,30.0,40.0,38.75,38.75,38.00±4.73,3.89±2.10
31.25,33.75,33.75,36.25,33.75,33.75±1.77,1.70±0.65
35.0,45.0,41.25,55.0,56.25,46.50±9.07,10.49±7.51
37.5,50.0,41.25,46.25,37.5,42.50±5.52,6.73±3.99
31.25,28.75,35.0,32.5,40.0,33.50±4.28,1.84±1.72
28.75,30.0,22.5,27.5,27.5,27.25±2.85,0.23±0.21
63.75,35.0,55.0,27.5,52.5,46.75±14.99,12.74±11.82
40.0,32.5,51.25,36.25,38.75,39.75±7.04,5.25±4.89
41.25,37.5,45.0,52.5,30.0,41.25±8.39,6.48±5.49
25.0,32.5,32.5,27.5,35.0,30.50±4.11,0.95±0.88
38.75,46.25,45.0,40.0,57.5,45.50±7.43,9.29±6.67
46.25,38.75,28.75,26.25,31.25,34.25±8.18,2.86±3.84
45.0,50.0,38.75,42.5,47.5,44.75±4.37,8.20±3.30
32.5,38.75,50.0,48.75,51.25,44.25±8.23,8.52±5.56
35.0,30.0,28.75,26.25,23.75,28.75±4.24,0.61±0.89
30.0,32.5,32.5,32.5,28.75,31.25±1.77,0.91±0.44
23.75,32.5,27.5,30.0,26.25,28.00±3.38,0.39±0.52
78.75,50.0,51.25,52.5,76.25,61.75±14.43,29.21±21.35
47.5,50.0,43.75,41.25,40.0,44.50±4.20,7.99±3.27
41.25,30.0,36.25,33.75,36.25,35.50±4.11,2.61±1.82
55.0,43.75,38.75,47.5,53.75,47.75±6.81,11.05±5.84
27.5,26.25,33.75,27.5,26.25,28.25±3.14,0.40±0.70
35.0,45.0,45.0,31.25,28.75,37.00±7.63,3.91±3.90
31.25,31.25,27.5,25.0,31.25,29.25±2.88,0.54±0.43
71.25,65.0,58.75,57.5,60.0,62.50±5.66,27.55±8.32
33.75,53.75,38.75,46.25,38.75,42.25±7.83,6.99±5.86
43.75,42.5,37.5,52.5,52.5,45.75±6.59,9.33±5.32
36.25,38.75,30.0,26.25,27.5,31.75±5.49,1.48±1.76
22.5,32.5,35.0,21.25,36.25,29.50±7.10,1.21±1.22
48.75,50.0,61.25,60.0,48.75,53.75±6.31,16.82±7.08
61.25,60.0,60.0,51.25,73.75,61.25±8.05,26.33±11.53
40.0,43.75,36.25,42.5,43.75,41.25±3.19,5.61±1.92
26.25,25.0,33.75,22.5,28.75,27.25±4.28,0.40±0.71
40.0,35.0,35.0,37.5,42.5,38.00±3.26,3.71±1.78
32.5,28.75,26.25,30.0,27.5,29.00±2.40,0.45±0.47
25.0,35.0,30.0,27.5,32.5,30.00±3.95,0.81±0.88
39.12,38.91,39.77,38.8,41.41,39.60±9.70,6.87±7.55
