Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std,ITR(bits/min)
60.0,43.75,50.0,60.0,47.5,52.25±7.42,11.03±5.55
58.75,46.25,55.0,33.75,42.5,47.25±9.98,8.12±5.97
28.75,40.0,36.25,33.75,47.5,37.25±7.04,2.79±2.75
58.75,83.75,78.75,77.5,75.0,74.75±9.50,34.75±11.66
38.75,20.0,28.75,37.5,37.5,32.50±8.05,1.55±1.33
63.75,63.75,53.75,33.75,62.5,55.50±12.86,14.67±8.42
90.0,80.0,87.5,90.0,91.25,87.75±4.54,54.84±8.10
28.75,32.5,32.5,38.75,32.5,33.00±3.60,1.14±0.99
28.75,60.0,57.5,61.25,52.5,52.00±13.42,12.13±7.23
55.0,53.75,60.0,61.25,58.75,57.75±3.24,15.01±2.80
96.25,95.0,88.75,100.0,87.5,93.50±5.26,67.86±13.04
58.75,75.0,83.75,88.75,90.0,79.25±12.89,42.43±17.79
61.25,42.5,41.25,55.0,30.0,46.00±12.29,7.90±7.25
38.75,47.5,35.0,27.5,36.25,37.00±7.21,2.73±2.72
46.25,28.75,28.75,37.5,32.5,34.75±7.36,2.04±2.65
48.75,78.75,56.25,55.0,57.5,59.25±11.41,17.65±12.36
41.25,35.0,36.25,28.75,42.5,36.75±5.49,2.42±1.76
92.5,92.5,76.25,85.0,90.0,87.25±6.87,54.44±12.09
35.0,36.25,48.75,46.25,45.0,42.25±6.21,4.77±2.90
32.5,33.75,46.25,40.0,33.75,37.25±5.82,2.62±2.39
66.25,60.0,58.75,65.0,63.75,62.75±3.24,19.70±3.21
40.0,52.5,41.25,42.5,41.25,43.50±5.11,5.26±3.05
40.0,37.5,38.75,33.75,37.5,37.50±2.34,2.41±0.80
35.0,36.25,21.25,30.0,28.75,30.25±5.96,0.81±0.86
72.5,65.0,75.0,43.75,72.5,65.75±12.86,24.47±11.70
31.25,41.25,55.0,36.25,37.5,40.25±8.99,4.28±4.80
75.0,50.0,48.75,63.75,42.5,56.00±13.15,15.20±12.11
30.0,42.5,41.25,33.75,30.0,35.50±6.03,2.07±1.98
41.25,55.0,45.0,45.0,58.75,49.00±7.47,8.78±5.13
76.25,41.25,63.75,43.75,53.75,55.75±14.51,15.39±13.14
85.0,95.0,95.0,80.0,86.25,88.25±6.59,56.46±13.00
45.0,66.25,56.25,72.5,78.75,63.75±13.38,22.53±13.29
38.75,32.5,40.0,35.0,33.75,36.00±3.24,1.95±1.08
28.75,33.75,33.75,36.25,26.25,31.75±4.11,0.91±0.78
31.25,40.0,31.25,28.75,30.0,32.25±4.45,1.04±1.30
91.25,91.25,92.5,97.5,100.0,94.50±4.01,69.90±10.89
76.25,72.5,61.25,65.0,50.0,65.00±10.27,23.05±10.53
42.5,57.5,42.5,38.75,47.5,45.75±7.27,6.76±4.71
55.0,46.25,45.0,51.25,51.25,49.75±4.09,8.89±2.76
38.75,31.25,33.75,41.25,31.25,35.25±4.54,1.83±1.47
62.5,78.75,65.0,56.25,36.25,59.75±15.50,19.22±13.61
46.25,46.25,48.75,35.0,32.5,41.75±7.43,4.70±3.26
80.0,85.0,91.25,86.25,83.75,85.25±4.09,50.17±7.39
46.25,57.5,83.75,75.0,77.5,68.00±15.58,27.97±16.84
45.0,45.0,36.25,57.5,43.75,45.50±7.63,6.67±4.76
28.75,40.0,40.0,36.25,36.25,36.25±4.59,2.15±1.29
27.5,28.75,22.5,21.25,33.75,26.75±5.05,0.30±0.50
56.25,58.75,61.25,58.75,65.0,60.00±3.31,17.04±3.15
86.25,71.25,66.25,68.75,87.5,76.00±10.09,36.80±14.75
41.25,51.25,41.25,58.75,46.25,47.75±7.42,7.97±4.99
28.75,33.75,37.5,37.5,33.75,34.25±3.60,1.46±0.91
41.25,38.75,43.75,45.0,45.0,42.75±2.71,4.70±1.30
41.25,27.5,33.75,33.75,40.0,35.25±5.55,1.94±1.61
23.75,42.5,32.5,32.5,37.5,33.75±6.96,1.72±1.77
51.06,52.62,51.94,51.44,51.71,51.75±18.32,15.47±18.35
