Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std,ITR(bits/min)
54.33,56.5,65.83,53.83,68.0,59.70±6.71,49.16±11.00
16.5,20.17,22.5,26.5,23.83,21.90±3.79,5.19±2.39
64.0,60.17,69.17,65.33,53.17,62.37±6.07,53.47±9.96
84.5,89.5,69.67,88.33,72.67,80.93±9.17,90.15±20.06
78.0,72.5,58.83,54.0,73.83,67.43±10.40,63.05±18.38
87.5,92.17,89.83,90.5,85.67,89.13±2.56,108.68±6.63
89.17,90.83,85.33,88.5,88.5,88.47±1.99,106.89±5.06
95.0,95.83,95.0,95.0,97.33,95.63±1.02,127.06±3.30
80.17,55.17,55.33,72.0,75.67,67.67±11.70,63.79±20.94
48.0,45.17,27.67,32.67,55.83,41.87±11.51,25.00±13.56
69.72,67.8,63.92,66.67,69.45,67.51±21.69,69.24±36.79
