Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std,ITR(bits/min)
41.67,41.67,43.06,45.14,53.47,45.00±4.94,37.92±8.97
39.58,31.25,43.06,39.58,34.03,37.50±4.76,25.85±6.98
59.72,72.22,65.28,68.06,63.19,65.69±4.75,80.52±11.47
84.03,93.75,90.97,91.67,88.89,89.86±3.69,151.05±13.03
97.22,98.61,99.31,94.44,97.22,97.36±1.86,181.38±8.70
85.42,94.44,90.97,89.58,95.14,91.11±3.94,155.76±14.53
88.89,84.03,86.11,88.19,87.5,86.94±1.93,140.52±6.44
90.28,87.5,94.44,91.67,91.67,91.11±2.52,155.42±9.38
89.58,88.19,88.89,86.81,82.64,87.22±2.76,141.57±9.16
50.69,57.64,56.25,50.0,59.03,54.72±4.12,56.13±8.33
72.71,74.93,75.83,74.51,75.28,74.65±20.82,112.61±53.71
