Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std,ITR(bits/min)
39.58,45.83,40.28,47.92,47.92,44.31±4.09,33.58±6.34
41.67,42.36,41.67,35.42,40.28,40.28±2.82,27.42±3.94
68.75,79.17,69.44,77.08,63.19,71.53±6.53,87.52±15.70
91.67,96.53,92.36,95.14,96.53,94.44±2.30,154.46±8.65
96.53,97.92,98.61,97.92,99.31,98.06±1.03,169.15±4.70
88.89,94.44,93.75,85.42,90.28,90.56±3.69,140.82±12.36
89.58,83.33,87.5,87.5,86.81,86.94±2.27,128.84±6.95
95.14,91.67,95.14,97.22,93.06,94.44±2.14,154.43±8.12
88.89,89.58,89.58,93.75,87.5,89.86±2.33,138.22±7.94
55.56,71.53,63.89,62.5,63.89,63.47±5.68,69.12±12.13
75.62,79.24,77.22,77.99,76.88,77.39±20.32,110.36±49.38
