Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std,ITR(bits/min)
50.0,43.06,40.28,51.39,40.97,45.14±5.20,42.01±10.04
43.06,23.61,34.03,42.36,25.0,33.61±9.22,23.37±13.58
66.67,75.0,68.75,70.83,57.64,67.78±6.45,94.46±17.12
88.89,91.67,93.75,85.42,92.36,90.42±3.31,168.30±13.07
98.61,95.14,96.53,99.31,95.83,97.08±1.80,198.09±9.46
90.97,90.97,95.14,87.5,94.44,91.81±3.08,173.98±12.81
79.86,83.33,83.33,83.33,83.33,82.64±1.55,139.15±5.22
90.97,86.81,89.58,93.06,90.28,90.14±2.27,166.96±9.04
79.86,86.81,86.11,82.64,78.47,82.78±3.69,139.92±12.70
53.47,55.56,45.83,41.67,58.33,50.97±6.97,54.02±14.45
74.24,73.19,73.33,73.75,71.67,73.24±21.35,120.03±58.94
