Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std,ITR(bits/min)
20.5,31.0,27.83,31.33,32.0,28.53±4.77,10.27±3.72
13.33,19.0,21.33,21.67,19.17,18.90±3.34,3.38±1.61
40.67,49.5,42.17,49.0,39.17,44.10±4.82,26.67±6.08
80.67,83.0,70.67,80.0,82.17,79.30±4.97,85.66±10.28
57.17,44.83,45.33,53.83,54.0,51.03±5.59,35.94±7.81
86.67,76.0,80.33,77.67,79.5,80.03±4.07,87.17±9.17
75.67,62.5,78.5,67.5,73.17,71.47±6.44,69.88±12.18
92.83,88.33,93.5,95.83,95.0,93.10±2.92,119.64±8.19
70.0,57.67,57.33,54.17,44.83,56.80±9.02,44.93±14.16
41.33,35.67,22.83,28.17,37.0,33.00±7.40,14.67±6.97
57.88,54.75,53.98,55.92,55.6,55.63±23.58,49.82±36.97
