Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std,ITR(bits/min)
18.33,19.0,26.17,28.33,27.0,23.77±4.73,9.83±4.86
26.5,14.17,20.0,13.67,24.17,19.70±5.77,6.21±4.93
28.5,30.5,37.17,28.83,27.83,30.57±3.82,17.92±5.54
50.0,52.5,48.0,48.67,57.33,51.30±3.79,54.24±8.22
26.5,31.0,30.67,28.5,30.33,29.40±1.89,16.19±2.44
51.33,52.67,43.33,57.33,49.83,50.90±5.08,53.55±10.57
44.33,41.0,36.0,52.33,55.5,45.83±8.03,43.87±15.57
53.83,62.83,73.33,56.0,46.17,58.43±10.23,71.58±25.03
27.5,24.17,30.17,20.83,25.17,25.57±3.52,11.62±4.03
16.5,22.67,16.83,21.33,17.5,18.97±2.83,5.03±2.40
34.33,35.05,36.17,35.58,36.08,35.44±13.93,29.00±23.07
