Fold1,Fold2,Mean±Std
56.39,45.56,50.97±7.66
40.28,39.72,40.00±0.39
82.22,75.28,78.75±4.91
100.00,98.61,99.31±0.98
97.78,96.39,97.08±0.98
94.17,97.22,95.69±2.16
83.61,91.39,87.50±5.50
100.00,92.22,96.11±5.50
88.33,91.39,89.86±2.16
67.50,64.17,65.83±2.36
81.03,79.19,80.11±19.92
