Fold1,Mean±Std
51.00,51.00±nan
57.00,57.00±nan
39.00,39.00±nan
95.00,95.00±nan
55.00,55.00±nan
64.00,64.00±nan
87.00,87.00±nan
52.00,52.00±nan
53.00,53.00±nan
49.00,49.00±nan
96.00,96.00±nan
71.00,71.00±nan
51.00,51.00±nan
61.00,61.00±nan
59.00,59.00±nan
78.00,78.00±nan
64.00,64.00±nan
82.00,82.00±nan
48.00,48.00±nan
49.00,49.00±nan
57.00,57.00±nan
35.00,35.00±nan
34.00,34.00±nan
48.00,48.00±nan
64.00,64.00±nan
56.00,56.00±nan
77.00,77.00±nan
57.00,57.00±nan
48.00,48.00±nan
91.00,91.00±nan
66.00,66.00±nan
48.00,48.00±nan
50.00,50.00±nan
32.00,32.00±nan
43.00,43.00±nan
82.00,82.00±nan
82.00,82.00±nan
62.00,62.00±nan
82.00,82.00±nan
51.00,51.00±nan
65.00,65.00±nan
72.00,72.00±nan
82.00,82.00±nan
77.00,77.00±nan
41.00,41.00±nan
56.00,56.00±nan
28.00,28.00±nan
72.00,72.00±nan
90.00,90.00±nan
58.00,58.00±nan
33.00,33.00±nan
60.00,60.00±nan
55.00,55.00±nan
45.00,45.00±nan
60.37,60.37±16.94
