Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std,ITR(bits/min)
61.25,80.0,78.75,73.75,80.0,74.75±7.97,43.80±12.50
75.0,67.5,73.75,60.0,87.5,72.75±10.17,41.18±17.60
57.5,67.5,45.0,63.75,55.0,57.75±8.68,19.94±9.28
97.5,98.75,97.5,100.0,98.75,98.50±1.05,102.00±4.68
60.0,57.5,57.5,50.0,33.75,51.75±10.74,14.35±8.12
90.0,91.25,78.75,87.5,81.25,85.75±5.49,65.32±12.35
98.75,100.0,100.0,100.0,96.25,99.00±1.63,104.65±6.94
18.75,58.75,40.0,48.75,48.75,43.00±15.09,8.98±7.58
38.75,77.5,80.0,53.75,57.5,61.50±17.26,27.44±21.44
72.5,50.0,56.25,66.25,55.0,60.00±9.14,22.67±11.37
100.0,100.0,100.0,100.0,100.0,100.00±0.00,109.09±0.00
93.75,87.5,88.75,91.25,80.0,88.25±5.20,71.24±12.31
40.0,45.0,48.75,46.25,33.75,42.75±5.96,6.34±3.47
75.0,76.25,71.25,63.75,85.0,74.25±7.74,42.95±13.39
65.0,41.25,68.75,60.0,71.25,61.25±11.96,24.93±12.58
97.5,98.75,85.0,91.25,97.5,94.00±5.82,87.84±16.84
82.5,86.25,82.5,80.0,80.0,82.25±2.56,57.10±5.43
100.0,100.0,100.0,98.75,97.5,99.25±1.12,105.55±5.17
71.25,75.0,81.25,61.25,73.75,72.50±7.29,39.86±11.51
41.25,48.75,47.5,46.25,42.5,45.25±3.24,7.70±2.28
78.75,86.25,88.75,88.75,75.0,83.50±6.27,60.46±13.09
37.5,62.5,51.25,37.5,47.5,47.25±10.47,10.46±8.90
18.75,36.25,20.0,26.25,30.0,26.25±7.23,0.60±1.06
57.5,58.75,56.25,56.25,50.0,55.75±3.38,16.96±3.35
85.0,72.5,97.5,83.75,67.5,81.25±11.73,58.22±25.86
67.5,55.0,67.5,70.0,65.0,65.00±5.86,28.35±7.34
86.25,85.0,91.25,90.0,93.75,89.25±3.60,73.38±9.18
68.75,68.75,66.25,63.75,48.75,63.25±8.37,26.50±9.53
68.75,67.5,86.25,80.0,82.5,77.00±8.41,48.03±15.15
100.0,100.0,100.0,98.75,98.75,99.50±0.68,106.54±3.49
98.75,97.5,97.5,98.75,97.5,98.00±0.68,99.73±2.73
93.75,96.25,92.5,97.5,97.5,95.50±2.27,91.13±7.34
36.25,43.75,35.0,53.75,38.75,41.50±7.62,5.86±5.29
32.5,33.75,37.5,38.75,36.25,35.75±2.59,2.33±1.03
42.5,50.0,48.75,57.5,55.0,50.75±5.84,12.41±5.08
88.75,98.75,98.75,98.75,98.75,96.75±4.47,96.52±13.88
98.75,97.5,96.25,96.25,100.0,97.75±1.63,99.21±6.76
87.5,90.0,90.0,97.5,93.75,91.75±3.91,80.28±11.44
91.25,83.75,72.5,93.75,88.75,86.00±8.40,66.86±18.10
82.5,68.75,52.5,77.5,37.5,63.75±18.58,30.99±22.76
81.25,88.75,83.75,93.75,90.0,87.50±5.00,69.37±12.08
80.0,58.75,77.5,90.0,75.0,76.25±11.32,47.66±19.64
97.5,95.0,98.75,97.5,96.25,97.00±1.43,96.12±5.14
97.5,97.5,95.0,96.25,96.25,96.50±1.05,94.23±3.61
57.5,55.0,47.5,58.75,52.5,54.25±4.47,15.53±4.31
76.25,72.5,85.0,58.75,68.75,72.25±9.66,40.12±15.77
23.75,35.0,27.5,28.75,30.0,29.00±4.09,0.57±0.79
91.25,67.5,78.75,77.5,76.25,78.25±8.51,50.53±17.07
95.0,100.0,97.5,100.0,100.0,98.50±2.24,102.83±9.09
72.5,91.25,95.0,97.5,95.0,90.25±10.17,78.65±23.21
40.0,51.25,52.5,47.5,42.5,46.75±5.42,9.05±4.06
73.75,86.25,68.75,76.25,82.5,77.50±6.96,48.58±12.99
60.0,66.25,71.25,87.5,71.25,71.25±10.19,38.77±17.88
40.0,51.25,41.25,28.75,38.75,40.00±8.00,5.11±4.47
71.18,73.63,73.1,73.82,71.71,72.69±21.10,50.27±34.89
