Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std,ITR(bits/min)
56.25,70.0,77.5,68.75,62.5,67.00±8.03,34.74±12.61
70.0,60.0,70.0,62.5,75.0,67.50±6.12,35.10±9.67
48.75,67.5,36.25,66.25,55.0,54.75±12.97,19.74±13.68
97.5,98.75,98.75,96.25,97.5,97.75±1.05,108.72±4.39
50.0,41.25,53.75,45.0,32.5,44.50±8.23,8.71±5.87
83.75,90.0,82.5,86.25,73.75,83.25±6.03,65.83±13.66
97.5,97.5,93.75,97.5,95.0,96.25±1.77,102.88±6.51
22.5,36.25,31.25,42.5,35.0,33.50±7.36,2.40±2.42
47.5,77.5,76.25,60.0,70.0,66.25±12.56,34.98±17.92
70.0,47.5,52.5,56.25,48.75,55.00±9.06,18.81±11.59
100.0,100.0,100.0,100.0,100.0,100.00±0.00,120.00±0.00
57.5,77.5,82.5,85.0,72.5,75.00±10.90,49.66±19.13
32.5,42.5,47.5,31.25,31.25,37.00±7.53,3.88±4.21
71.25,72.5,66.25,58.75,78.75,69.50±7.48,38.67±12.26
43.75,50.0,58.75,48.75,68.75,54.00±9.86,17.91±11.75
95.0,92.5,92.5,96.25,96.25,94.50±1.90,96.57±6.45
81.25,77.5,76.25,81.25,72.5,77.75±3.69,53.23±7.42
100.0,100.0,98.75,98.75,98.75,99.25±0.68,115.80±3.84
61.25,65.0,75.0,52.5,62.5,63.25±8.08,29.12±11.85
36.25,45.0,41.25,40.0,50.0,42.50±5.23,6.68±3.77
81.25,88.75,87.5,88.75,76.25,84.50±5.56,68.71±12.97
40.0,57.5,52.5,37.5,53.75,48.25±8.91,11.95±7.57
21.25,30.0,25.0,17.5,28.75,24.50±5.20,0.17±0.25
50.0,52.5,52.5,51.25,47.5,50.75±2.09,13.23±1.99
72.5,72.5,86.25,68.75,70.0,74.00±7.04,46.65±14.59
53.75,58.75,46.25,57.5,53.75,54.00±4.87,16.86±5.04
86.25,75.0,83.75,85.0,82.5,82.50±4.42,63.66±9.62
55.0,67.5,61.25,62.5,43.75,58.00±9.13,22.35±10.38
47.5,73.75,76.25,78.75,73.75,70.00±12.75,41.12±17.76
96.25,100.0,100.0,98.75,98.75,98.75±1.53,113.72±7.14
90.0,93.75,97.5,92.5,95.0,93.75±2.80,94.31±9.38
93.75,97.5,92.5,98.75,96.25,95.75±2.59,101.34±9.55
31.25,51.25,35.0,62.5,41.25,44.25±12.70,9.84±10.85
31.25,30.0,25.0,41.25,31.25,31.75±5.90,1.55±2.22
30.0,41.25,42.5,55.0,51.25,44.00±9.74,8.72±6.84
86.25,98.75,98.75,98.75,97.5,96.00±5.48,103.75±17.76
95.0,93.75,95.0,92.5,97.5,94.75±1.85,97.45±6.58
78.75,82.5,81.25,92.5,92.5,85.50±6.53,71.65±16.84
88.75,77.5,65.0,90.0,80.0,80.25±10.09,60.40±21.08
65.0,51.25,51.25,46.25,35.0,49.75±10.80,13.86±10.52
80.0,86.25,81.25,92.5,77.5,83.50±5.96,66.52±14.91
70.0,53.75,60.0,70.0,75.0,65.75±8.64,32.94±12.66
86.25,93.75,93.75,90.0,83.75,89.50±4.47,81.68±12.51
85.0,93.75,92.5,93.75,92.5,91.50±3.69,87.28±10.33
48.75,40.0,42.5,47.5,47.5,45.25±3.79,8.53±2.87
58.75,65.0,61.25,50.0,61.25,59.25±5.63,23.19±6.74
26.25,25.0,21.25,28.75,28.75,26.00±3.11,0.13±0.17
81.25,62.5,82.5,61.25,62.5,70.00±10.86,40.62±19.38
96.25,100.0,98.75,100.0,97.5,98.50±1.63,112.62±7.68
67.5,77.5,81.25,90.0,83.75,80.00±8.34,59.17±17.61
37.5,42.5,35.0,30.0,36.25,36.25±4.51,3.00±2.11
82.5,85.0,68.75,76.25,76.25,77.75±6.34,53.76±12.77
55.0,50.0,77.5,83.75,65.0,66.25±14.36,35.87±22.90
46.25,41.25,37.5,35.0,33.75,38.75±5.08,4.34±3.05
65.51,68.87,68.52,69.24,67.48,67.92±21.89,46.93±37.30
