Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std,ITR(bits/min)
52.5,50.0,53.75,37.5,60.0,50.75±8.27,10.87±5.67
60.0,48.75,58.75,57.5,48.75,54.75±5.55,13.68±4.64
50.0,50.0,37.5,46.25,57.5,48.25±7.27,8.91±4.82
80.0,93.75,90.0,87.5,92.5,88.75±5.45,61.41±10.96
37.5,33.75,40.0,38.75,33.75,36.75±2.88,2.35±1.05
83.75,76.25,78.75,76.25,82.5,79.50±3.49,43.74±5.77
96.25,81.25,91.25,97.5,93.75,92.00±6.47,69.28±14.25
48.75,35.0,46.25,46.25,31.25,41.50±7.83,5.01±3.60
55.0,62.5,50.0,42.5,62.5,54.50±8.55,13.93±7.01
61.25,52.5,63.75,62.5,66.25,61.25±5.23,19.81±5.08
96.25,97.5,96.25,98.75,100.0,97.75±1.63,83.95±5.72
95.0,93.75,98.75,97.5,96.25,96.25±1.98,79.23±5.82
51.25,53.75,57.5,56.25,33.75,50.50±9.67,10.96±5.78
51.25,47.5,33.75,46.25,37.5,43.25±7.32,5.84±3.84
46.25,56.25,50.0,46.25,45.0,48.75±4.59,8.91±3.46
67.5,80.0,61.25,62.5,60.0,66.25±8.20,25.89±10.80
50.0,53.75,41.25,41.25,37.5,44.75±6.81,6.61±4.24
88.75,97.5,88.75,91.25,100.0,93.25±5.20,72.49±14.29
41.25,55.0,48.75,52.5,45.0,48.50±5.55,8.84±3.80
42.5,31.25,33.75,42.5,48.75,39.75±7.15,4.06±3.24
60.0,78.75,81.25,75.0,70.0,73.00±8.41,34.66±11.14
42.5,48.75,47.5,43.75,45.0,45.50±2.59,6.63±1.60
26.25,31.25,37.5,25.0,40.0,32.00±6.65,1.37±1.62
42.5,38.75,38.75,42.5,43.75,41.25±2.34,4.26±1.14
53.75,77.5,83.75,67.5,77.5,72.00±11.75,34.12±14.85
52.5,41.25,38.75,43.75,45.0,44.25±5.20,6.10±3.25
76.25,70.0,73.75,73.75,60.0,70.75±6.41,31.18±7.88
40.0,40.0,40.0,38.75,46.25,41.00±2.98,4.18±1.61
55.0,65.0,57.5,60.0,68.75,61.25±5.59,19.86±5.92
87.5,72.5,85.0,83.75,78.75,81.50±5.96,47.50±9.90
97.5,98.75,87.5,90.0,95.0,93.75±4.84,73.29±12.34
77.5,71.25,92.5,78.75,90.0,82.00±8.95,49.29±16.13
40.0,42.5,33.75,38.75,37.5,38.50±3.24,3.06±1.32
32.5,41.25,30.0,31.25,31.25,33.25±4.56,1.38±1.59
35.0,35.0,42.5,31.25,30.0,34.75±4.87,1.85±1.77
92.5,100.0,100.0,100.0,98.75,98.25±3.26,86.59±10.06
72.5,70.0,66.25,73.75,56.25,67.75±7.04,27.44±8.04
50.0,51.25,60.0,55.0,48.75,53.00±4.56,12.12±3.88
60.0,63.75,66.25,55.0,53.75,59.75±5.41,18.31±5.40
38.75,35.0,38.75,48.75,37.5,39.75±5.26,3.79±2.79
73.75,83.75,62.5,80.0,68.75,73.75±8.52,35.78±12.09
62.5,45.0,71.25,68.75,36.25,56.75±15.38,17.71±13.03
90.0,92.5,95.0,95.0,90.0,92.50±2.50,69.33±6.04
72.5,72.5,81.25,80.0,82.5,77.75±4.87,41.10±7.52
46.25,33.75,41.25,43.75,45.0,42.00±4.97,4.86±2.26
38.75,31.25,55.0,47.5,51.25,44.75±9.66,7.12±5.29
25.0,27.5,21.25,21.25,30.0,25.00±3.85,0.11±0.18
53.75,65.0,60.0,48.75,62.5,58.00±6.65,16.77±6.10
75.0,62.5,76.25,85.0,72.5,74.25±8.08,36.41±11.62
50.0,71.25,50.0,63.75,67.5,60.50±9.95,19.84±9.91
37.5,40.0,35.0,33.75,40.0,37.25±2.85,2.53±1.08
52.5,60.0,62.5,58.75,66.25,60.00±5.08,18.52±4.99
42.5,48.75,41.25,38.75,42.5,42.75±3.69,5.12±2.12
32.5,35.0,37.5,31.25,31.25,33.50±2.71,1.29±0.81
58.15,59.1,59.47,58.89,58.75,58.87±20.11,24.06±24.74
