Fold1,Mean±Std
80.47,80.47±nan
70.66,70.66±nan
61.02,61.02±nan
96.88,96.88±nan
63.98,63.98±nan
87.24,87.24±nan
95.49,95.49±nan
77.43,77.43±nan
66.15,66.15±nan
76.04,76.04±nan
97.05,97.05±nan
87.41,87.41±nan
64.41,64.41±nan
87.24,87.24±nan
79.17,79.17±nan
89.15,89.15±nan
77.34,77.34±nan
95.31,95.31±nan
52.08,52.08±nan
66.75,66.75±nan
74.83,74.83±nan
52.95,52.95±nan
37.93,37.93±nan
63.45,63.45±nan
77.43,77.43±nan
70.66,70.66±nan
87.67,87.67±nan
77.60,77.60±nan
62.93,62.93±nan
94.88,94.88±nan
88.80,88.80±nan
61.28,61.28±nan
71.35,71.35±nan
36.98,36.98±nan
57.03,57.03±nan
99.22,99.22±nan
96.88,96.88±nan
80.47,80.47±nan
93.92,93.92±nan
67.36,67.36±nan
85.24,85.24±nan
84.46,84.46±nan
96.88,96.88±nan
93.32,93.32±nan
58.25,58.25±nan
78.04,78.04±nan
34.29,34.29±nan
87.67,87.67±nan
98.44,98.44±nan
78.47,78.47±nan
47.05,47.05±nan
82.81,82.81±nan
70.66,70.66±nan
43.92,43.92±nan
75.27,75.27±16.96
