Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std,ITR(bits/min)
50.0,65.83,59.83,45.33,64.83,57.17±9.12,52.50±16.00
21.67,14.5,14.67,17.67,27.67,19.23±5.54,4.42±3.90
50.33,72.5,53.0,58.5,54.67,57.80±8.73,53.60±16.88
83.83,87.5,86.17,75.83,69.0,80.47±7.85,102.40±19.40
55.5,56.67,66.17,71.83,63.17,62.67±6.78,62.39±13.31
80.83,90.0,86.0,59.0,80.5,79.27±11.99,100.54±27.72
88.67,82.0,81.83,81.33,79.83,82.73±3.42,107.49±9.40
89.67,87.5,93.5,98.0,95.67,92.87±4.29,137.75±14.36
53.17,75.17,72.33,48.0,70.67,63.87±12.37,65.97±23.72
50.5,35.0,38.33,49.67,30.83,40.87±8.83,26.87±12.05
62.42,66.67,65.18,60.52,63.68,63.69±20.77,71.39±38.43
