Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std,ITR(bits/min)
23.61,27.78,25.69,25.0,29.17,26.25±2.22,9.44±2.03
23.61,23.61,25.69,22.22,24.31,23.89±1.26,7.35±1.04
51.39,61.11,54.86,60.42,50.69,55.69±4.90,49.26±8.61
80.56,81.25,77.08,80.56,82.64,80.42±2.05,101.33±5.14
75.0,73.61,77.78,73.61,75.0,75.00±1.70,88.14±4.01
81.94,87.5,88.19,84.03,85.42,85.42±2.55,114.65±7.05
54.86,38.89,43.06,52.78,52.78,48.47±7.05,37.60±10.68
85.42,87.5,92.36,88.19,90.28,88.75±2.66,124.27±7.98
78.47,75.69,78.47,72.92,66.67,74.44±4.92,87.14±11.08
37.5,39.58,24.31,34.72,44.44,36.11±7.50,20.57±8.60
59.24,59.65,58.75,59.44,60.14,59.44±23.42,63.98±42.07
