Fold1,Mean±Std
62.00,62.00±nan
77.00,77.00±nan
61.00,61.00±nan
98.00,98.00±nan
56.00,56.00±nan
83.00,83.00±nan
94.00,94.00±nan
37.00,37.00±nan
45.00,45.00±nan
66.00,66.00±nan
100.00,100.00±nan
93.00,93.00±nan
43.00,43.00±nan
57.00,57.00±nan
63.00,63.00±nan
69.00,69.00±nan
67.00,67.00±nan
94.00,94.00±nan
77.00,77.00±nan
47.00,47.00±nan
67.00,67.00±nan
48.00,48.00±nan
31.00,31.00±nan
58.00,58.00±nan
75.00,75.00±nan
61.00,61.00±nan
90.00,90.00±nan
58.00,58.00±nan
55.00,55.00±nan
96.00,96.00±nan
86.00,86.00±nan
78.00,78.00±nan
35.00,35.00±nan
44.00,44.00±nan
49.00,49.00±nan
94.00,94.00±nan
88.00,88.00±nan
89.00,89.00±nan
56.00,56.00±nan
55.00,55.00±nan
84.00,84.00±nan
72.00,72.00±nan
83.00,83.00±nan
50.00,50.00±nan
46.00,46.00±nan
59.00,59.00±nan
26.00,26.00±nan
65.00,65.00±nan
83.00,83.00±nan
69.00,69.00±nan
51.00,51.00±nan
54.00,54.00±nan
50.00,50.00±nan
57.00,57.00±nan
65.76,65.76±18.78
