Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std,ITR(bits/min)
42.5,41.25,41.25,45.0,38.75,41.75±2.27,4.89±1.27
51.25,47.5,58.75,53.75,56.25,53.50±4.37,13.55±3.86
47.5,20.0,33.75,36.25,35.0,34.50±9.79,2.78±3.30
75.0,87.5,88.75,88.75,83.75,84.75±5.82,57.82±11.06
35.0,30.0,36.25,31.25,28.75,32.25±3.24,1.09±0.87
61.25,62.5,56.25,60.0,47.5,57.50±6.06,17.57±5.65
72.5,77.5,78.75,72.5,76.25,75.50±2.88,40.55±4.60
32.5,35.0,23.75,26.25,33.75,30.25±4.95,0.84±0.80
31.25,37.5,28.75,36.25,56.25,38.00±10.81,4.37±6.52
57.5,56.25,36.25,51.25,41.25,48.50±9.37,10.24±6.65
98.75,97.5,96.25,97.5,97.5,97.50±0.88,89.68±3.07
61.25,63.75,65.0,70.0,61.25,64.25±3.60,24.80±4.53
32.5,32.5,33.75,31.25,32.5,32.50±0.88,1.03±0.23
46.25,41.25,33.75,43.75,26.25,38.25±8.18,3.91±3.16
32.5,40.0,27.5,35.0,36.25,34.25±4.64,1.81±1.42
65.0,62.5,67.5,58.75,56.25,62.00±4.56,22.24±5.21
51.25,51.25,52.5,58.75,56.25,54.00±3.35,13.91±3.13
90.0,97.5,92.5,93.75,97.5,94.25±3.26,80.16±9.26
50.0,48.75,66.25,50.0,42.5,51.50±8.81,12.51±8.45
30.0,27.5,33.75,26.25,36.25,30.75±4.20,0.85±0.95
53.75,58.75,52.5,53.75,52.5,54.25±2.59,14.08±2.49
36.25,30.0,22.5,27.5,22.5,27.75±5.76,0.56±0.96
26.25,23.75,28.75,25.0,22.5,25.25±2.40,0.06±0.11
43.75,40.0,36.25,46.25,26.25,38.50±7.83,3.95±2.99
28.75,35.0,46.25,42.5,41.25,38.75±6.90,3.89±2.90
41.25,30.0,40.0,40.0,36.25,37.50±4.59,3.01±1.66
62.5,66.25,62.5,57.5,65.0,62.75±3.35,22.99±3.82
32.5,40.0,35.0,40.0,31.25,35.75±4.11,2.27±1.55
37.5,28.75,36.25,47.5,31.25,36.25±7.23,2.89±3.29
87.5,85.0,70.0,86.25,76.25,81.00±7.57,50.91±13.35
77.5,87.5,86.25,88.75,81.25,84.25±4.73,56.58±9.24
76.25,76.25,81.25,76.25,78.75,77.75±2.24,44.22±3.87
32.5,38.75,25.0,32.5,30.0,31.75±4.97,1.16±1.27
30.0,31.25,20.0,26.25,23.75,26.25±4.59,0.24±0.33
32.5,27.5,27.5,35.0,31.25,30.75±3.26,0.75±0.70
88.75,97.5,98.75,93.75,97.5,95.25±4.09,83.45±11.54
81.25,77.5,78.75,76.25,63.75,75.50±6.82,41.11±10.08
62.5,70.0,70.0,76.25,67.5,69.25±4.97,31.46±6.91
41.25,47.5,42.5,42.5,48.75,44.50±3.38,6.59±2.20
38.75,23.75,36.25,32.5,30.0,32.25±5.82,1.41±1.35
67.5,68.75,65.0,72.5,68.75,68.50±2.71,30.19±3.70
35.0,40.0,48.75,37.5,41.25,40.50±5.20,4.48±2.95
82.5,72.5,72.5,78.75,70.0,75.25±5.18,40.45±8.53
66.25,80.0,75.0,75.0,72.5,73.75±5.00,38.04±7.57
22.5,27.5,27.5,35.0,25.0,27.50±4.68,0.40±0.77
33.75,38.75,38.75,26.25,45.0,36.50±6.98,2.96±2.54
21.25,30.0,23.75,21.25,30.0,25.25±4.45,0.18±0.25
40.0,41.25,43.75,35.0,40.0,40.00±3.19,4.03±1.51
70.0,71.25,75.0,82.5,68.75,73.50±5.55,37.77±9.02
52.5,52.5,52.5,46.25,68.75,54.50±8.41,15.08±8.84
30.0,31.25,25.0,32.5,30.0,29.75±2.85,0.53±0.38
47.5,41.25,40.0,45.0,30.0,40.75±6.71,4.84±3.05
35.0,30.0,36.25,30.0,40.0,34.25±4.29,1.77±1.43
32.5,27.5,32.5,32.5,41.25,33.25±4.97,1.55±1.73
50.21,50.46,50.07,51.16,49.42,50.26±20.65,17.75±22.98
