Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std,ITR(bits/min)
90.0,88.75,87.5,90.0,92.5,89.75±1.85,62.90±4.09
90.0,96.25,91.25,93.75,91.25,92.50±2.50,69.35±6.24
61.25,75.0,66.25,81.25,72.5,71.25±7.76,32.12±10.43
98.75,97.5,97.5,100.0,98.75,98.50±1.05,86.31±3.96
65.0,66.25,63.75,66.25,50.0,62.25±6.93,21.09±6.54
98.75,92.5,95.0,93.75,92.5,94.50±2.59,74.54±7.40
100.0,100.0,100.0,100.0,100.0,100.00±0.00,92.31±0.00
86.25,81.25,78.75,86.25,73.75,81.25±5.30,46.95±8.93
73.75,95.0,86.25,87.5,85.0,85.50±7.63,55.41±14.48
95.0,90.0,95.0,87.5,76.25,88.75±7.71,62.14±15.28
100.0,98.75,100.0,100.0,100.0,99.75±0.56,91.23±2.41
100.0,98.75,98.75,98.75,98.75,99.00±0.56,88.00±2.41
60.0,73.75,83.75,80.0,81.25,75.75±9.54,38.94±12.98
91.25,96.25,86.25,95.0,95.0,92.75±4.09,70.30±9.49
97.5,95.0,88.75,93.75,88.75,92.75±3.89,70.32±9.61
96.25,98.75,97.5,98.75,91.25,96.50±3.11,80.32±8.59
75.0,81.25,80.0,80.0,83.75,80.00±3.19,44.52±5.18
100.0,98.75,98.75,98.75,97.5,98.75±0.88,87.15±3.41
93.75,93.75,90.0,87.5,82.5,89.50±4.73,62.88±9.99
66.25,68.75,72.5,68.75,61.25,67.50±4.15,26.75±4.96
85.0,86.25,87.5,91.25,86.25,87.25±2.40,57.72±5.02
71.25,68.75,81.25,76.25,75.0,74.50±4.81,36.18±7.07
25.0,37.5,36.25,33.75,31.25,32.75±4.95,1.31±1.03
80.0,83.75,82.5,78.75,76.25,80.25±2.98,44.92±4.96
82.5,96.25,88.75,93.75,85.0,89.25±5.77,62.71±12.70
76.25,77.5,83.75,77.5,81.25,79.25±3.14,43.29±5.21
93.75,90.0,93.75,91.25,97.5,93.25±2.88,71.31±7.44
83.75,85.0,87.5,82.5,77.5,83.25±3.71,50.22±6.54
88.75,91.25,90.0,88.75,91.25,90.00±1.25,63.39±2.75
100.0,98.75,100.0,100.0,98.75,99.50±0.68,90.15±2.95
100.0,100.0,100.0,96.25,96.25,98.50±2.05,86.95±7.33
98.75,98.75,98.75,98.75,97.5,98.50±0.56,86.07±1.89
82.5,76.25,95.0,93.75,85.0,86.50±7.88,57.57±15.79
46.25,37.5,36.25,57.5,48.75,45.25±8.72,7.23±5.58
36.25,71.25,55.0,66.25,61.25,58.00±13.57,18.30±11.21
98.75,100.0,98.75,98.75,100.0,99.25±0.68,89.07±2.95
98.75,98.75,100.0,97.5,95.0,98.00±1.90,84.85±6.28
95.0,98.75,98.75,97.5,98.75,97.75±1.63,83.78±5.01
92.5,91.25,93.75,93.75,90.0,92.25±1.63,68.58±3.85
81.25,83.75,72.5,77.5,68.75,76.75±6.16,39.76±9.36
92.5,93.75,90.0,91.25,95.0,92.50±1.98,69.24±4.78
92.5,90.0,91.25,92.5,87.5,90.75±2.09,65.15±4.62
100.0,100.0,98.75,100.0,98.75,99.50±0.68,90.15±2.95
98.75,97.5,97.5,95.0,96.25,97.00±1.43,81.33±4.35
68.75,68.75,68.75,60.0,56.25,64.50±5.97,23.44±6.50
97.5,96.25,92.5,85.0,90.0,92.25±5.03,69.45±11.90
36.25,38.75,42.5,33.75,36.25,37.50±3.31,2.66±1.37
95.0,93.75,95.0,93.75,95.0,94.50±0.68,74.13±1.79
98.75,98.75,100.0,98.75,100.0,99.25±0.68,89.07±2.95
93.75,98.75,97.5,92.5,95.0,95.50±2.59,77.26±7.40
60.0,72.5,60.0,65.0,53.75,62.25±6.98,21.12±7.73
93.75,98.75,96.25,96.25,96.25,96.25±1.77,79.17±5.23
86.25,95.0,91.25,87.5,86.25,89.25±3.81,62.17±8.59
61.25,55.0,66.25,61.25,65.0,61.75±4.38,20.24±4.47
83.89,86.2,85.65,85.76,83.43,84.99±16.07,59.84±25.30
