Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std,ITR(bits/min)
85.0,71.25,86.25,82.5,73.75,79.75±6.81,58.11±14.29
66.25,76.25,80.0,83.75,80.0,77.25±6.70,52.80±12.68
56.25,58.75,60.0,51.25,62.5,57.75±4.28,21.12±5.07
93.75,96.25,93.75,96.25,93.75,94.75±1.37,97.33±4.80
56.25,51.25,56.25,62.5,55.0,56.25±4.05,19.30±4.87
87.5,88.75,87.5,82.5,83.75,86.00±2.71,71.84±6.76
93.75,98.75,96.25,100.0,97.5,97.25±2.40,107.38±9.97
67.5,70.0,76.25,71.25,68.75,70.75±3.38,40.06±6.00
61.25,70.0,77.5,80.0,70.0,71.75±7.37,42.53±12.78
60.0,80.0,86.25,75.0,73.75,75.00±9.72,49.28±17.83
100.0,98.75,100.0,98.75,100.0,99.50±0.68,117.20±3.84
86.25,92.5,88.75,90.0,90.0,89.50±2.27,81.13±6.37
52.5,53.75,66.25,56.25,60.0,57.75±5.55,21.31±7.13
82.5,87.5,78.75,83.75,82.5,83.00±3.14,64.62±7.36
86.25,75.0,81.25,78.75,65.0,77.25±7.97,53.18±15.48
87.5,95.0,96.25,92.5,88.75,92.00±3.81,88.96±11.75
86.25,73.75,75.0,77.5,81.25,78.75±5.08,55.57±10.99
95.0,95.0,96.25,97.5,96.25,96.00±1.05,101.76±3.93
78.75,78.75,66.25,70.0,58.75,70.50±8.55,40.66±14.37
50.0,58.75,50.0,47.5,63.75,54.00±6.93,17.21±7.97
75.0,70.0,80.0,80.0,78.75,76.75±4.29,51.30±8.22
56.25,62.5,68.75,53.75,47.5,57.75±8.17,21.82±10.22
25.0,35.0,27.5,33.75,28.75,30.00±4.24,0.85±0.98
61.25,61.25,57.5,60.0,53.75,58.75±3.19,22.25±3.88
72.5,86.25,81.25,86.25,75.0,80.25±6.34,59.08±13.63
71.25,66.25,51.25,52.5,56.25,59.50±8.82,24.19±11.90
81.25,85.0,83.75,85.0,82.5,83.50±1.63,65.61±3.81
61.25,71.25,66.25,67.5,73.75,68.00±4.81,35.67±7.65
66.25,77.5,87.5,73.75,78.75,76.75±7.74,52.15±15.70
98.75,96.25,98.75,96.25,96.25,97.25±1.37,106.75±5.70
90.0,100.0,98.75,88.75,97.5,95.00±5.23,100.34±18.60
98.75,95.0,97.5,97.5,97.5,97.25±1.37,106.71±5.39
70.0,81.25,87.5,80.0,65.0,76.75±9.08,52.57±17.94
33.75,37.5,25.0,33.75,27.5,31.50±5.11,1.35±1.35
30.0,53.75,56.25,45.0,58.75,48.75±11.69,13.22±8.79
98.75,100.0,100.0,100.0,100.0,99.75±0.56,118.60±3.13
95.0,93.75,95.0,92.5,95.0,94.25±1.12,95.56±3.70
88.75,92.5,90.0,91.25,83.75,89.25±3.38,80.63±9.07
91.25,92.5,93.75,95.0,90.0,92.50±1.98,90.01±6.21
70.0,65.0,66.25,72.5,66.25,68.00±3.14,35.46±5.13
91.25,90.0,85.0,90.0,83.75,88.00±3.38,77.19±8.91
66.25,68.75,73.75,81.25,73.75,72.75±5.76,43.98±10.71
98.75,97.5,96.25,98.75,96.25,97.50±1.25,107.73±5.20
88.75,96.25,93.75,93.75,92.5,93.00±2.74,91.78±8.60
48.75,58.75,56.25,63.75,41.25,53.75±8.84,17.35±9.16
71.25,72.5,71.25,62.5,75.0,70.50±4.73,39.80±7.64
27.5,30.0,37.5,25.0,37.5,31.50±5.76,1.46±1.69
87.5,91.25,92.5,85.0,80.0,87.25±5.03,75.62±12.97
97.5,97.5,100.0,100.0,97.5,98.50±1.37,112.50±6.84
83.75,93.75,95.0,88.75,88.75,90.00±4.51,83.15±12.87
53.75,52.5,43.75,46.25,36.25,46.50±7.09,10.04±5.61
90.0,92.5,86.25,85.0,77.5,86.25±5.73,73.20±14.21
77.5,85.0,75.0,75.0,76.25,77.75±4.18,53.33±9.07
53.75,51.25,30.0,42.5,51.25,45.75±9.79,10.09±6.50
74.14,77.22,76.81,75.93,74.17,75.65±18.59,58.01±34.07
