Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std
33.33,22.22,27.78,30.56,38.89,30.56±6.21
38.89,22.22,38.89,27.78,30.56,31.67±7.24
55.56,61.11,72.22,61.11,41.67,58.33±11.11
72.22,69.44,72.22,66.67,63.89,68.89±3.62
58.33,75.00,69.44,77.78,72.22,70.56±7.51
88.89,69.44,80.56,77.78,72.22,77.78±7.61
69.44,52.78,30.56,55.56,63.89,54.44±14.91
77.78,91.67,100.00,77.78,77.78,85.00±10.32
80.56,72.22,47.22,61.11,55.56,63.33±13.23
22.22,27.78,25.00,30.56,30.56,27.22±3.62
59.72,56.39,56.39,56.67,54.72,56.78±19.54
