Fold1,Fold2,Mean±Std
46.43,54.76,50.60±5.89
41.67,42.86,42.26±0.84
85.71,82.14,83.93±2.53
98.81,94.05,96.43±3.37
85.71,91.67,88.69±4.21
95.24,97.62,96.43±1.68
57.14,61.90,59.52±3.37
97.62,98.81,98.21±0.84
92.86,88.10,90.48±3.37
73.81,65.48,69.64±5.89
77.50,77.74,77.62±19.57
