Fold1,Fold2,Mean±Std
27.38,27.38,27.38±0.00
29.76,20.24,25.00±6.73
50.00,55.95,52.98±4.21
65.48,64.29,64.88±0.84
69.05,73.81,71.43±3.37
73.81,70.24,72.02±2.53
52.38,47.62,50.00±3.37
73.81,82.14,77.98±5.89
59.52,55.95,57.74±2.53
17.86,30.95,24.40±9.26
51.90,52.86,52.38±19.37
