Fold1,Mean±Std
16.11,16.11±nan
15.56,15.56±nan
11.67,11.67±nan
30.00,30.00±nan
29.44,29.44±nan
37.22,37.22±nan
23.33,23.33±nan
36.11,36.11±nan
17.78,17.78±nan
17.78,17.78±nan
23.50,23.50±8.65
