Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std,ITR(bits/min)
26.39,33.33,30.56,29.17,29.17,29.72±2.52,11.11±2.25
28.47,22.92,28.47,18.75,24.31,24.58±4.10,7.07±2.93
61.11,72.92,75.0,72.22,56.25,67.50±8.30,62.75±14.63
86.81,90.28,84.03,89.58,90.97,88.33±2.88,106.65±7.23
77.08,83.33,80.56,82.64,80.56,80.83±2.44,88.77±5.34
90.28,93.75,96.53,93.06,93.06,93.33±2.23,120.24±6.56
63.89,41.67,47.22,60.42,55.56,53.75±9.21,40.36±13.34
94.44,96.53,96.53,96.53,95.14,95.83±0.98,127.69±3.11
85.42,82.64,87.5,85.42,81.94,84.58±2.27,97.35±5.39
50.69,54.86,44.44,51.39,56.94,51.67±4.78,36.76±6.68
66.46,67.22,67.08,67.92,66.39,67.01±24.66,69.87±42.14
