Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std,ITR(bits/min)
16.5,29.83,21.67,33.5,25.17,25.33±6.68,9.20±5.75
24.33,14.67,24.5,22.5,24.5,22.10±4.24,6.21±2.74
35.83,32.67,45.33,30.33,31.67,35.17±6.03,19.18±7.69
70.67,69.17,58.5,61.67,65.17,65.03±5.07,66.84±10.16
53.17,43.83,41.5,46.67,41.67,45.37±4.84,32.61±7.38
68.83,72.5,63.83,67.0,72.67,68.97±3.76,74.84±7.95
71.67,59.83,52.0,70.0,68.67,64.43±8.32,66.13±16.03
82.33,82.0,92.17,83.17,87.0,85.33±4.31,114.72±12.42
49.33,37.5,49.33,42.33,31.33,41.97±7.77,28.17±10.51
32.33,28.5,25.5,19.0,27.33,26.53±4.90,9.97±4.28
50.5,47.05,47.43,47.62,47.52,48.02±20.61,42.79±34.27
