Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std,ITR(bits/min)
31.94,40.97,50.0,48.61,46.53,43.61±7.37,30.41±9.95
47.92,31.94,50.69,40.28,36.11,41.39±7.87,27.40±10.77
63.89,80.56,79.86,70.83,52.08,69.44±11.90,77.45±24.79
95.83,98.61,97.22,98.61,88.19,95.69±4.35,147.80±14.92
99.31,99.31,99.31,96.53,98.61,98.61±1.20,158.62±5.08
94.44,88.19,93.06,95.14,95.14,93.19±2.92,138.36±9.38
77.08,53.47,71.53,62.5,80.56,69.03±11.05,76.32±23.04
90.28,90.28,96.53,97.22,95.14,93.89±3.38,140.92±11.50
95.14,93.06,94.44,85.42,90.28,91.67±3.96,133.57±12.29
66.67,61.11,59.72,50.0,69.44,61.39±7.51,60.03±13.96
76.25,73.75,79.24,74.51,75.21,75.79±20.76,99.09±47.71
