Fold1,Fold2,Mean±Std
61.90,67.86,64.88±4.21
54.76,66.67,60.71±8.42
85.71,84.52,85.12±0.84
95.24,95.24,95.24±0.00
98.81,98.81,98.81±0.00
91.67,96.43,94.05±3.37
77.38,84.52,80.95±5.05
95.24,89.29,92.26±4.21
88.10,80.95,84.52±5.05
58.33,52.38,55.36±4.21
80.71,81.67,81.19±14.75
