Fold1,Fold2,Mean±Std
64.29,72.62,68.45±5.89
59.52,60.71,60.12±0.84
100.00,98.81,99.40±0.84
95.24,89.29,92.26±4.21
96.43,100.00,98.21±2.53
98.81,100.00,99.40±0.84
97.62,96.43,97.02±0.84
94.05,89.29,91.67±3.37
88.10,89.29,88.69±0.84
64.29,55.95,60.12±5.89
85.83,85.24,85.54±15.34
