Fold1,Mean±Std
38.89,38.89±nan
18.33,18.33±nan
36.11,36.11±nan
88.89,88.89±nan
90.56,90.56±nan
80.56,80.56±nan
82.78,82.78±nan
91.11,91.11±nan
88.33,88.33±nan
76.11,76.11±nan
69.17,69.17±25.79
