Fold1,Mean±Std
58.00,58.00±nan
58.00,58.00±nan
51.00,51.00±nan
93.00,93.00±nan
56.00,56.00±nan
72.00,72.00±nan
83.00,83.00±nan
53.00,53.00±nan
52.00,52.00±nan
59.00,59.00±nan
97.00,97.00±nan
83.00,83.00±nan
52.00,52.00±nan
68.00,68.00±nan
56.00,56.00±nan
86.00,86.00±nan
65.00,65.00±nan
90.00,90.00±nan
52.00,52.00±nan
47.00,47.00±nan
60.00,60.00±nan
37.00,37.00±nan
31.00,31.00±nan
45.00,45.00±nan
69.00,69.00±nan
57.00,57.00±nan
78.00,78.00±nan
58.00,58.00±nan
49.00,49.00±nan
90.00,90.00±nan
78.00,78.00±nan
51.00,51.00±nan
52.00,52.00±nan
32.00,32.00±nan
41.00,41.00±nan
91.00,91.00±nan
89.00,89.00±nan
67.00,67.00±nan
81.00,81.00±nan
52.00,52.00±nan
79.00,79.00±nan
74.00,74.00±nan
83.00,83.00±nan
81.00,81.00±nan
43.00,43.00±nan
60.00,60.00±nan
34.00,34.00±nan
75.00,75.00±nan
88.00,88.00±nan
54.00,54.00±nan
39.00,39.00±nan
64.00,64.00±nan
59.00,59.00±nan
42.00,42.00±nan
63.22,63.22±17.54
