Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std,ITR(bits/min)
37.5,46.67,36.83,48.0,50.33,43.87±6.26,33.16±9.57
45.17,39.17,43.5,34.0,40.83,40.53±4.33,27.92±6.15
68.83,79.33,69.0,78.17,64.17,71.90±6.56,88.43±15.94
91.17,96.17,93.83,94.5,96.17,94.37±2.06,154.10±7.64
96.33,98.0,98.67,98.0,99.33,98.07±1.12,169.20±5.05
89.0,94.33,93.67,86.0,89.33,90.47±3.48,140.47±11.75
88.67,83.5,87.5,88.67,86.17,86.90±2.16,128.70±6.60
94.83,91.5,94.83,97.17,92.83,94.23±2.17,153.62±8.20
89.0,90.5,89.83,93.67,87.5,90.10±2.29,139.01±7.76
55.0,71.0,65.0,62.67,64.17,63.57±5.74,69.33±12.12
75.55,79.02,77.27,78.08,77.08,77.40±20.31,110.39±49.23
