Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std,ITR(bits/min)
52.67,52.17,50.83,52.33,52.0,52.00±0.70,42.72±1.15
47.83,32.17,47.17,39.0,48.5,42.93±7.15,29.42±9.59
71.33,84.0,74.0,71.5,66.83,73.53±6.40,85.31±15.23
92.33,92.33,97.67,95.83,97.67,95.17±2.69,145.28±9.65
100.0,98.0,98.67,97.33,98.0,98.40±1.01,157.71±4.77
91.0,93.0,95.17,92.67,97.83,93.93±2.64,140.91±9.33
84.67,85.17,90.67,90.0,88.17,87.73±2.74,121.28±7.94
94.83,93.5,95.67,96.33,96.33,95.33±1.20,145.53±4.26
89.67,91.17,90.5,95.17,88.17,90.93±2.62,130.99±8.47
59.83,74.67,67.83,69.5,67.5,67.87±5.33,72.69±11.06
78.42,79.62,80.82,79.97,80.1,79.78±18.77,107.19±43.87
