Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std,ITR(bits/min)
65.67,62.67,47.83,57.67,60.5,58.87±6.83,47.84±10.46
57.17,50.83,48.33,39.83,49.5,49.13±6.22,33.38±8.36
69.5,88.0,72.83,74.17,68.0,74.50±7.94,76.20±17.11
97.17,97.33,96.5,92.67,96.0,95.93±1.90,128.15±5.88
100.0,100.0,99.33,100.0,100.0,99.87±0.30,142.75±1.45
95.17,98.67,94.33,95.33,95.5,95.80±1.66,127.73±5.62
89.67,86.83,93.0,92.0,94.17,91.13±2.92,114.09±7.87
99.33,97.83,95.67,98.5,98.5,97.97±1.39,135.06±4.89
95.17,95.83,95.33,97.83,95.5,95.93±1.09,128.03±3.62
76.0,80.83,88.5,81.33,85.17,82.37±4.73,92.48±10.80
84.48,85.88,83.17,82.93,84.28,84.15±16.92,102.57±36.50
