Fold1,Mean±Std
79.86,79.86±nan
95.66,95.66±nan
85.24,85.24±nan
100.00,100.00±nan
75.00,75.00±nan
94.53,94.53±nan
100.00,100.00±nan
92.36,92.36±nan
95.49,95.49±nan
87.76,87.76±nan
100.00,100.00±nan
99.22,99.22±nan
86.81,86.81±nan
96.44,96.44±nan
98.44,98.44±nan
95.66,95.66±nan
72.22,72.22±nan
98.44,98.44±nan
80.99,80.99±nan
86.02,86.02±nan
87.59,87.59±nan
82.29,82.29±nan
48.09,48.09±nan
80.64,80.64±nan
99.22,99.22±nan
88.80,88.80±nan
99.22,99.22±nan
87.41,87.41±nan
89.32,89.32±nan
100.00,100.00±nan
100.00,100.00±nan
96.09,96.09±nan
96.27,96.27±nan
56.86,56.86±nan
67.88,67.88±nan
100.00,100.00±nan
98.61,98.61±nan
91.93,91.93±nan
94.88,94.88±nan
81.68,81.68±nan
94.88,94.88±nan
97.05,97.05±nan
100.00,100.00±nan
100.00,100.00±nan
66.41,66.41±nan
98.44,98.44±nan
39.32,39.32±nan
97.05,97.05±nan
97.66,97.66±nan
99.22,99.22±nan
63.37,63.37±nan
97.83,97.83±nan
95.05,95.05±nan
63.89,63.89±nan
88.46,88.46±14.08
